step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_average_speed,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_average_speed,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
116.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
117.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
118.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
119.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,19.864289200690536,0.0,0,0.0,1.0,0.0,19.864289200690536,0.0,1,0.0,0.0,39.72857840138107,0.0,19.864289200690536
120.0,0.0,0.0,0.0,,1,0.0,0.0,2.0,21.864289200690536,2.0,0,0.0,1.0,2.0,21.864289200690536,2.0,1,0.0,0.0,43.72857840138107,2.0,21.864289200690536
121.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,21.864289200690536,0.0,0,0.0,1.0,0.0,21.864289200690536,0.0,1,0.0,0.0,43.72857840138107,0.0,21.864289200690536
122.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,21.864289200690536,0.0,0,0.0,1.0,0.0,21.864289200690536,0.0,1,0.0,0.0,43.72857840138107,0.0,21.864289200690536
123.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,21.864289200690536,0.0,0,0.0,1.0,0.0,21.864289200690536,0.0,1,0.0,0.0,43.72857840138107,0.0,21.864289200690536
124.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,21.864289200690536,0.0,0,0.0,1.0,0.0,21.864289200690536,0.0,1,0.0,0.0,43.72857840138107,0.0,21.864289200690536
125.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,21.864289200690536,0.0,0,0.0,1.0,0.0,21.864289200690536,0.0,1,0.0,0.0,43.72857840138107,0.0,21.864289200690536
126.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,21.864289200690536,0.0,0,0.0,1.0,0.0,21.864289200690536,0.0,1,0.0,0.0,43.72857840138107,0.0,21.864289200690536
127.0,0.0,0.0,0.0,,1,0.0,0.0,0.0,21.864289200690536,0.0,0,0.0,1.0,0.0,21.864289200690536,0.0,1,0.0,0.0,43.72857840138107,0.0,21.864289200690536
128.0,1.0,0.3333333333333333,1.0,,1,0.0002777777777777778,0.0,0.0,21.864289200690536,0.0,0,0.0,1.0,0.0,21.864289200690536,0.0,1,0.0002777777777777778,0.0,43.72857840138107,0.0,21.864289200690536
129.0,2.0,0.6666666666666666,3.0,,1,0.0005555555555555556,0.0,2.0,23.864289200690536,2.0,0,0.0,1.0,2.0,23.864289200690536,2.0,1,0.0005555555555555556,0.0,47.72857840138107,2.0,23.864289200690536
130.0,3.0,1.0,6.0,,1,0.0008333333333333334,0.0,0.0,23.864289200690536,0.0,0,0.0,1.0,0.0,23.864289200690536,0.0,1,0.0008333333333333334,0.0,47.72857840138107,0.0,23.864289200690536
