step,system_total_waiting_time,system_mean_waiting_time,cumulative_total_wait_time,cumulative_mean_wait_time,1_stopped,1_accumulated_waiting_time,1_reward,1_cumulative_rewards,1_cumulative_diff_rewards,2_stopped,2_accumulated_waiting_time,2_reward,2_cumulative_rewards,2_cumulative_diff_rewards,agents_total_stopped,agents_total_accumulated_waiting_time,cumulative_penalties,cumulative_rewards,mean_reward,mean_cumulative_reward
113,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
114,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
115,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
116,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
117,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
118,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
119,0.0,0.0,1.0,,0,0.0,0.0,-3.544869569996358,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-3.544869569996358,0.0,-1.772434784998179
120,0.0,0.0,1.0,,0,0.0,1.6,-1.9448695699963578,1.6,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-1.9448695699963578,0.8,-0.9724347849981789
121,0.0,0.0,1.0,,0,0.0,0.0,-1.9448695699963578,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-1.9448695699963578,0.0,-0.9724347849981789
122,0.0,0.0,1.0,,0,0.0,0.0,-1.9448695699963578,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-1.9448695699963578,0.0,-0.9724347849981789
123,0.0,0.0,1.0,,0,0.0,0.0,-1.9448695699963578,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-1.9448695699963578,0.0,-0.9724347849981789
124,0.0,0.0,1.0,,0,0.0,0.9037293127327646,-1.0411402572635933,0.9037293127327646,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-1.0411402572635933,0.4518646563663823,-0.5205701286317966
125,0.0,0.0,1.0,,0,0.0,0.0,-1.0411402572635933,0.0,0,0.0,0.0,0.0,0.0,0,0.0,9.544869569996358,-1.0411402572635933,0.0,-0.5205701286317966
126,0.0,0.0,1.0,,0,0.0,0.0,-1.0411402572635933,0.0,0,0.0,1.9669109930952904,1.9669109930952904,1.9669109930952904,0,0.0,9.544869569996358,0.9257707358316971,0.9834554965476452,0.46288536791584856
127,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,0,0.0,0.0,1.9669109930952904,0.0,1,0.0,9.544869569996358,0.9257707358316971,0.0,0.46288536791584856
128,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,0,0.0,0.0,1.9669109930952904,0.0,1,0.0,9.544869569996358,0.9257707358316971,0.0,0.46288536791584856
129,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,0,0.0,0.0,1.9669109930952904,0.0,1,0.0,9.544869569996358,0.9257707358316971,0.0,0.46288536791584856
130,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,0,0.0,-0.8967392249489382,1.070171768146352,-0.8967392249489382,1,0.0,10.441608794945296,0.029031510882758793,-0.4483696124744691,0.014515755441379452
131,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,0,0.0,0.0,1.070171768146352,0.0,1,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
132,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,0,0.0,0.0,1.070171768146352,0.0,1,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
133,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,0,0.0,0.0,1.070171768146352,0.0,1,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
134,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
135,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
136,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
137,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
138,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
139,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
140,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
141,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
142,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
143,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
144,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
145,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
146,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
147,0.0,0.0,1.0,,1,0.0,0.0,-1.0411402572635933,0.0,1,0.0,0.0,1.070171768146352,0.0,2,0.0,10.441608794945296,0.029031510882758793,0.0,0.014515755441379452
